stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
89275,,Gimasio Pacific Fitness,,-33.055462851974,-71.4270394016057,,,0,,
89276,,San Martin / Samuel Valencia / Norte,,-33.0516118159623,-71.4332605339587,,,0,,
89277,,Inhen - Peñuelas,,-33.0525133286923,-71.4156614709646,,,0,,
89278,,El Retiro - Latorre,,-33.0402285807675,-71.44070472571,,,0,,
89279,,Marga Marga - Elena,,-33.0568791275812,-71.4268409181386,,,0,,
89280,,Los Lirios - San Antonio,,-33.057202844521,-71.4204545784742,,,0,,
89281,,Los Carrera 739,,-33.0441273302307,-71.4614239800721,,,0,,
89282,,Serena - Los Carrera,,-33.0511344522502,-71.4051869136892,,,0,,
89283,,Santiago - Belgrano,,-33.0379531062982,-71.4019640162587,,,0,,
89284,,Errazuriz - San Martin - Plaza Echaurren,,-33.0360343596928,-71.6289332974702,,,0,,
89285,,Errazuriz - Francia / Oriente,,-33.044495703191,-71.6117135155947,,,0,,
89286,,Los Eucaliptus - Vilgo,,-33.0606467593763,-71.4307687617838,,,0,,
89287,,San Enrrique - Los Cisnes,,-33.0584572364193,-71.3782701361923,,,0,,
89288,,Madrid - Los Naranjos,,-33.0380880174908,-71.3997002318501,,,0,,
89289,,Independencia - Latorre,,-33.0356595844165,-71.4351836778224,,,0,,
89290,,Volcan Villarica - Volcan Maipo,,-33.0702809124389,-71.4249644614756,,,0,,
89291,,Avenida Valparaíso - Paseo La Torre,,-33.0442464934422,-71.3732088077813,,,0,,
89292,,Lynch - Santiago,,-33.0433688788186,-71.3699051364711,,,0,,
89293,,Colegio Mary Graham / Oriente,,-33.0504832259189,-71.3744774926454,,,0,,
89294,,Los Carreras - Jotabeche / Este,,-33.0487970584671,-71.4258163142949,,,0,,
89295,,Playa Torperderas / Sur,,-33.0276669995621,-71.6298103798181,,,0,,
89296,,Los Lunes - Troncal,,-33.0354729520679,-71.4843354094774,,,0,,
89297,,Uno Norte - San Martin,,-33.0206622546476,-71.559552596882,,,0,,
89298,,Lago Lanalhue 2401,,-33.0665946135307,-71.4155928231776,,,0,,
89299,,Troncal Pasarela 2 / Sur,,-33.0370919183175,-71.5019387472421,,,0,,
89300,,Isabel Riquelme - Sargento Aldea,,-33.0407704588091,-71.3558415044099,,,0,,
89301,,Los Carrera 627,,-33.0481113411355,-71.4442041981965,,,0,,
89302,,Troncos Viejos - La Grieta,,-33.0604826594409,-71.4088218379766,,,0,,
